# Model-authored diff (electron/package-lock.json generated by the verifier's npm install is excluded)
 .gitignore                                        |   3 +
 electron/assets/icons/app-icon.icns               | Bin 0 -> 237218 bytes
 electron/assets/icons/app-icon.png                | Bin 0 -> 38593 bytes
 electron/electron-builder.config.cjs              |   3 +
 electron/main.js                                  | 306 ++++++++++++++++++++
 electron/package.json                             |  23 ++
 electron/preload.cjs                              |   5 +
 electron/scripts/auth-token.cjs                   |  58 ++++
 electron/scripts/auth-token.test.cjs              |  72 +++++
 electron/scripts/bundled-python.cjs               | 145 ++++++++++
 electron/scripts/bundled-python.test.cjs          | 126 +++++++++
 electron/scripts/electron-builder-config.cjs      | 147 ++++++++++
 electron/scripts/electron-builder-config.test.cjs | 133 +++++++++
 electron/scripts/generate-icons.cjs               |  56 ++++
 electron/scripts/launch-electron.cjs              |  49 ++++
 electron/scripts/materialize-symlinks.cjs         |  47 ++++
 electron/scripts/materialize-symlinks.test.cjs    |  87 ++++++
 electron/scripts/process-exit-policy.cjs          |  12 +
 electron/scripts/process-exit-policy.test.cjs     |  57 ++++
 electron/scripts/prune-bundled-python-runtime.cjs |  85 ++++++
 electron/scripts/stage-backend.cjs                | 121 ++++++++
 electron/scripts/updates.cjs                      | 240 ++++++++++++++++
 electron/scripts/updates.test.cjs                 | 327 ++++++++++++++++++++++
 electron/scripts/window-guards.cjs                |  41 +++
 electron/scripts/window-guards.test.cjs           |  63 +++++
 electron/signing/entitlements.mac.inherit.plist   |  13 +
 electron/signing/entitlements.mac.plist           |  13 +
 example/example/base_settings.py                  | 102 +++++++
 example/example/desktop_dev_settings.py           |  20 ++
 example/example/desktop_middleware.py             |  67 +++++
 example/example/packaged_settings.py              |  40 +++
 example/example/runtime.py                        |  56 ++++
 example/example/settings.py                       | 143 +---------
 example/example/urls.py                           |  23 +-
 justfile                                          |  26 ++
 35 files changed, 2565 insertions(+), 144 deletions(-)
